area,baths,description,facilities,location,location_address,nearby_locations,price,property_type,property_url,rooms,title,year
11.500m²,3,🇵🇪🇵🇪🇵🇪PARACAS,"['Armarios empotrados', 'Cochera', 'Cocina equipada', 'Chimenea', 'Vista panorámica', 'Cuarto de servicio', 'Terraza', 'Agua', 'Patio', 'Permite mascotas', 'Permite niños', 'Completamente amoblado']","Paracas, Pisco, Ica","Paracas, Pisco, Ica",[' Cerca del mar '],US$280.000,Casa,https://casas.trovit.com.pe/listing/paracas-venta-de-bella-finca-altura-del-km-250-de-carretera-panamericana-sur.287671e0-2969-11ee-839a-3bde8bc6977e,3,Paracas venta de Bella Finca altura del km 250 de carretera Panamericana Sur,2020
572m²,7,"LINDA Y COMODA CASA DE PLAYA EN PARACAS, EXCELENTE UBICACIÓN","['Balcón', 'Armarios empotrados', 'Cochera', 'Cocina equipada', 'Internet', 'Cuarto de servicio', 'Terraza', 'Agua', 'Tanque de agua', 'Patio', 'Completamente amoblado']","Paracas, Perú  Paracas, Pisco, Ica","Paracas, Perú",[' Cerca del mar '],US$650.000,Casa,https://casas.trovit.com.pe/listing/venta-linda-casa-de-playa-condominio-viento-sur-en-paracas-excelente-ubicacion.f90a756b-7dcc-4d72-8e60-c820926832d0,7,"VENTA Linda "" Casa de Playa Condominio Viento Sur en PARACAS "" Excelente ubicación¡¡",
76m²,3,"Se vende casa de playa en la bahia de Paracas, de 76 m2 de terreno, 2 pisos, AT 115 m2 4 dormitorios para 8 camas, 2 baños, sala - comedor, cocina con muebles completos y lavanderia, dentro de un condomino privado de 8 casas, con piscina y acceso privado a la playa, cuenta con cochera, amplio jardin y zona de parrillas. Frente a la av. Los Libertadores","['Balcón', 'Cochera', 'Agua', 'Tanque de agua', 'Patio', 'Electricidad', 'Sin amoblar']","Paracas, Provincia de Pisco, Ica","Paracas, Provincia de Pisco, Ica","[' Cerca de avenidas principales, ', ' Cerca del mar, ', ' Cerca de centros comerciales, ', ' Cerca de escuelas ']",US$359.000,Casa de playa,https://casas.trovit.com.pe/listing/venta-de-casa-de-playa-en-paracas.bde48d02-ff09-4c93-8bab-b1a66c3bddde,4,Venta de Casa de Playa en Paracas,1998
1.125m²,5,CASA DE 2 PISOS PISCO - ZONA CASILLA CHICO,"['Balcón', 'Armarios empotrados', 'Cochera', 'Cocina equipada', 'Chimenea', 'Vista panorámica', 'Cuarto de servicio', 'Terraza', 'Agua', 'Tanque de agua', 'Patio', 'Parcialmente amoblado']","1S, Pisco, Ica, 11600, PER  Pisco, Pisco, Ica","1S, Pisco, Ica, 11600, PER","[' Cerca de avenidas principales, ', ' Cerca del mar, ', ' Cerca de centros comerciales, ', ' Cerca de parques, ', ' Cerca de escuelas ']",US$250.000,Casa,https://casas.trovit.com.pe/listing/hermosa-casa-en-venta-en-pisco.be532b2a-10cc-4401-9bcb-7fe38e57b0bc,6,HERMOSA CASA EN VENTA EN PISCO,2018
107m²,2,Nuevo Paracas,"['Balcón', 'Armarios empotrados', 'Cochera', 'Bodega', 'Vista panorámica', 'Cuarto de servicio', 'Terraza', 'Sin amoblar']","Condominio Las Velas, Avenida A, Perú  Paracas, Pisco, Ica","Condominio Las Velas, Avenida A, Perú","[' Cerca de avenidas principales, ', ' Cerca del mar ']",US$150.000,Departamento,https://casas.trovit.com.pe/listing/departamento-de-ocasion-impecable-paracas-3-dorm-3-estacionamientos.afec54cd-01fa-4766-9edd-f9729a7229e5,3,Departamento de ocasión impecable PARACAS 3 dorm 3 estacionamientos,2013
208m²,3,¡¡NO PIERDAS ESTÁ OPORTUNIDAD!!,"['Balcón', 'Cochera', 'Agua', 'Patio', 'Sin amoblar']","Pisco, Pisco, Ica","Pisco, Pisco, Ica","[' Cerca de avenidas principales, ', ' Cerca del mar, ', ' Cerca de centros comerciales, ', ' Cerca de parques, ', ' Cerca de escuelas ']",US$60.000,Casa,https://casas.trovit.com.pe/listing/casa-en-venta-pisco-pisco-playa.3d3d202d-ec31-4086-baf3-ade7a8199153,9,CASA EN VENTA PISCO - PISCO PLAYA,1998
208m²,3,¡¡NO PIERDAS ESTÁ OPORTUNIDAD!!,"['Balcón', 'Cochera', 'Agua', 'Patio', 'Sin amoblar']","Pisco, Pisco, Ica","Pisco, Pisco, Ica","[' Cerca de avenidas principales, ', ' Cerca del mar, ', ' Cerca de centros comerciales, ', ' Cerca de parques, ', ' Cerca de escuelas ']",US$60.000,Casa,https://casas.trovit.com.pe/listing/casa-en-venta-pisco-pisco-playa.3d3d202d-ec31-4086-baf3-ade7a8199153,9,CASA EN VENTA PISCO - PISCO PLAYA,1998
160m²,9,OPORTUNIDAD DE INVERSION: SE VENDE EDIFICIO COMPLETO,['Terraza'],"Urb San Martin de Porres, Pisco, Perú  Pisco, Pisco, Ica","Urb San Martin de Porres, Pisco, Perú","[' Cerca de avenidas principales, ', ' Cerca de parques ']",US$280.000,Casa,https://casas.trovit.com.pe/listing/se-vende-edificio-para-inversion-frente-a-parque-160-m2-terreno-9-departamentos-san-martin-de-porres.60120812-034b-4cd8-a9a3-2ce70d890071,18,"Se Vende Edificio Para Inversion, Frente A Parque, 160 M2 Terreno, 9 Departamentos- San Martin De Porres",2011
119m²,3,1) DEPARTAMENTO en VENTA en PARACAS,"['Balcón', 'Armarios empotrados', 'Cochera', 'Jacuzzi', 'Vista panorámica', 'Cuarto de servicio', 'Terraza', 'Patio', 'Sin amoblar']","Condominio Las Velas, Avenida A, Perú  Paracas, Pisco, Ica","Condominio Las Velas, Avenida A, Perú","[' Cerca de avenidas principales, ', ' Cerca del mar, ', ' Cerca de centros comerciales, ', ' Cerca de parques ']",US$150.000,Departamento,https://casas.trovit.com.pe/listing/departamento-en-venta-en-paracas.b61e37bf-3654-47cb-88ae-bc14dee41e4c,3,DEPARTAMENTO EN VENTA EN PARACAS,2012
134m²,3,"Ubicado a 50 Mts. del malecón en Condominio Sotavento en Nuevo Paracas, son 8 torres de 10 Dptos., 2 por piso. Ubicado en el Km 18 de la carretera Pisco Paracas.","['Cochera', 'Jacuzzi', 'Terraza']","Nuevo Paracas Condominios Nauticos, Carretera Pisco Paracas, Paracas, Perú  Paracas, Pisco, Ica","Nuevo Paracas Condominios Nauticos, Carretera Pisco Paracas, Paracas, Perú",[],US$185.000,Departamento,https://casas.trovit.com.pe/listing/se-vende-lindo-departamento-amoblado-en-segundo-piso-con-ascensor.05e2a37b-893a-4522-9bb8-87c1df3b03ce,3,Se vende lindo departamento amoblado en segundo piso con ascensor,
10.000m²,5,"LINDA CASA DE CAMPO EN PACHACAMAC. UBICADO EN CASA BLANCA. A la derecha podrá ver un Mini departamento, y a la izquierda la casa de empleados. Entrada para carros, con portón a control remoto. Mirando al frente esta la caballeriza y los árboles frutales. Al fondo a la derecha se encuentra la casa con un dormitorio amplio, un ambiente para oficina, baño amplio, walking closet, comedor, sala, comedor de diario, cocina, terraza. Al costado de la casa tiene búngalos independientes con salitas y baños completos.",[],"Calle 8, Pachacamac, Perú  Distrito de Pachacamac, Provincia de Lima, Provincia de Lima","Calle 8, Pachacamac, Perú",[],US$2.500.000,Finca,https://casas.trovit.com.pe/listing/a-us250-m-linda-casa-en-pachacamac-10000-m-cbungalos-piscina-caballeriza.040bb63f-f2e6-4bc8-83e6-72ca81004cfe,5,"A Us$250 m² Linda Casa en Pachacamac 10,000 m² C/búngalos, Piscina, Caballeriza",2002
1.763m²,5,Como Parte de un pequeño Condominio con sólo 16 lotes.,"['Armarios empotrados', 'Cochera', 'Chimenea', 'Cuarto de servicio', 'Terraza', 'Agua', 'Patio', 'Sin amoblar']","Calle 8, Pachacamac, Perú  Pachacamac, Lima, Lima","Calle 8, Pachacamac, Perú","[' Cerca de avenidas principales, ', ' Cerca de parques ']",US$650.000,Casa,https://casas.trovit.com.pe/listing/casa-de-campo-en-condominio-en-casa-blanca-pachacamac.3ee579aa-48ee-44a2-a52d-23661f7a2a93,5,CASA DE CAMPO EN CONDOMINIO EN CASA BLANCA PACHACAMAC,1999
5.264m²,4,"Ubicada en zona residencial de Pachacamac, con la tranquilidad con la que rodean los cerros.","['Cochera', 'Cocina equipada', 'Chimenea', 'Cuarto de servicio', 'Terraza', 'Agua', 'Tanque de agua', 'Parcialmente amoblado']","Av. JatoSisa, Pachacamac, Perú  Distrito de Pachacamac, Provincia de Lima, Provincia de Lima","Av. JatoSisa, Pachacamac, Perú",[],US$875.000,Casa,https://casas.trovit.com.pe/listing/hermosa-casa-de-campo-con-todas-las-comodidades-para-vivir.8c92f52c-ea90-4445-a7ef-a5c501c0f799,4,HERMOSA CASA DE CAMPO CON TODAS LAS COMODIDADES PARA VIVIR,
2.800m²,2,"Esta acogedora casa de un piso está construida sobre una magnífica propiedad de 2800m2 sobre la av. Fernando Reusche, en el distrito ecológico de Pachacamac.","['Armarios empotrados', 'Cochera', 'Chimenea', 'Internet', 'Vista panorámica', 'Cuarto de servicio', 'Terraza', 'Agua', 'Tanque de agua', 'Patio', 'Sin amoblar']","Av. Fernando Reusche 909, Lima, Perú  Distrito de Pachacamac, Provincia de Lima, Provincia de Lima","Av. Fernando Reusche 909, Lima, Perú","[' Cerca de avenidas principales, ', ' Cerca de parques, ', ' Cerca de escuelas ']",US$615.000,Casa,https://casas.trovit.com.pe/listing/casa-de-campo-av-reusche-pachacamac.9076754c-08c4-4b89-8112-4ec92bedab85,4,Casa de campo Av. Reusche Pachacamac,1980
420.000m²,6,"TERRENO RUSTICO DE 42 HECTÁREAS, SE PUEDE DAR ARRAS PARA RESERVAR. El terreno es plano, cuenta con 2 Pozos de Agua en abundancia, luz eléctrica, una casa construida. Y Casa de invitados piscina y BBQ• La zona es exclusiva con ingreso solo para propietarios, con cámaras de seguridad y vigilancia.","['Aire acondicionado', 'Alarma', 'Balcón', 'Armarios empotrados', 'Cochera', 'Bodega', 'Cocina equipada', 'Chimenea', 'Jacuzzi', 'Gas natural', 'Vista panorámica', 'Cuarto de servicio']","Distrito de Pachacamac, Provincia de Lima, Provincia de Lima","Distrito de Pachacamac, Provincia de Lima, Provincia de Lima",[' Cerca de parques '],US$30.000.000,Casa,https://casas.trovit.com.pe/listing/terreno-en-venta-en-pachacamac.9b7d91ce-38d4-37ac-90ee-abf8f4630a05,6,TERRENO en VENTA en PACHACAMAC,2000
2.867 m²,6,OCASION REMATE HERMOSA CASA DE CAMPO,"['Cochera', 'Chimenea']","Distrito de Pachacamac, Provincia de Lima, Provincia de Lima","Distrito de Pachacamac, Provincia de Lima, Provincia de Lima",[' Cerca de parques '],US$450.000,Casa,https://casas.trovit.com.pe/listing/remato-hermosa-casa-de-campo-en-pachacamac.d842d2c6-d068-389e-84a6-fdc702c7f57e,10,REMATO HERMOSA CASA DE CAMPO EN PACHACAMAC,
3.100m²,6,"Simplemente Hermosa!!! Nos recibe un venado como mascota de la casa, papagayos y tortugas gigantes...Linda casa de campo de dos pisos tipo hacienda, contruida de cero el 2021, cerca a restaurantes, amplias áreas verdes, bien ubicada . A solo 30 minutos de Lima (Acceso rápido). Acabados de primera, amplios ambientes, muy iluminada y ventilada, aire acondicionado en dormitorios. Amplio Ingreso, baño de visitas (excelentes acabados), escritorio con A/C y balcón colonial de madera tipo trujillano todos los muebles empotrados de madera quedan con la casa . Hall de distribución con pileta con bomba automática estilo hacienda, sala de muy buen tamaño con amplios ventanales con bella vista a los jardines y terrazas, comedor para 14 personas . Destacar que todas las puertas de la casa son de doble altura y en madera. Gran cocina con muebles altos y bajos en madera , comedor de diario, mesadas de granito. Ventanales con amplia vista a las terrazas y jardines.","['Aire acondicionado', 'Armarios empotrados', 'Terraza', 'Patio', 'Cuarto de servicio', 'Chimenea', 'Cochera', 'Balcón']","Quebrada Verde, Pachacamac, Perú  Pachacamac, Provincia de Lima, Provincia de Lima","Quebrada Verde, Pachacamac, Perú",[],US$790.000,Casa,https://casas.trovit.com.pe/listing/espectacular-casa-de-campo-en-venta-en-pachacamac-con-piscina.3cb1ec87-71fd-45ae-89d8-7075fb248a44,9,ESPECTACULAR CASA DE CAMPO EN VENTA EN PACHACAMAC CON PISCINA,2012
696m²,7,"Fundo Quebrada Verde, casa modelo colonial con acabados de lujo, cuenta con cerco de piedra en todo el prìmetro de la casa, al ingreso nos encontramos con una cohera para 12 autos, el recibidor de piedra, sala comedor amplia con una pileta de piedra en el ingreso, la casa tiene 1 balcòn colonial en su estudio (incluye escritorio de madera), el dormitorio principal tiene 75m2, baño amplio con acabados de marmol, jacuzzi con ducha española, walk in closet amplio, balcòn colonial y mampara con acceso a la terraza, 2 dormitorios secundarios con baño y closet de pared a pared, cocina amplia con muebles altos y bajos, mesa de trabajo de marmol (en la cocina entran 2 refrigeradoras) Mampara de madera en sala, comedor y cocina, todo con acceso a la terraza del jardìn (viene con los muebles de terraza). Escalera de piedra con fierro forjado.",[],"Pachacamac, Lima, Lima","Pachacamac, Lima, Lima",[],US$820.000,Casa,https://casas.trovit.com.pe/listing/casa-de-campo-de-lujo-con-piscina-parrilla-10-dorm.d6c9744f-8a14-3039-9929-42c6c7b2c02c,10,CASA DE CAMPO DE LUJO - CON PISCINA - PARRILLA - 10 DORM,
15.000m²,1,VENDO CASA DE CAMPO PACHACAMAC Av. Cuatro Bocas s/n,[],"Calle Cuatro Bocas, Lima, Perú  Distrito de Pachacamac, Provincia de Lima, Provincia de Lima","Calle Cuatro Bocas, Lima, Perú",[],US$2.400.000,Casa,https://casas.trovit.com.pe/listing/vendo-casa-de-campo-pachacamac-av-cuatro-bocas-sn.4f862ab7-23a2-4769-bdbe-e64a6273db33,2,VENDO CASA DE CAMPO PACHACAMAC Av. Cuatro Bocas s/n,
